area,area_type,group_value,records,avg_predicted,actual_hit_rate,actual_minus_predicted,smoothed_hit_rate,smoothed_edge,stake_units,profit_units,roi,avg_price,avg_clv_percent,beat_close_rate,reliability,brier,memory_type,importance,action
MLB / 60-70%,sport_probability_bucket,MLB|60-70%,41,0.644683,0.780488,0.135805,0.758316,0.113633,20.53,9.079,0.442231,1.54828,,,0.856012,0.186926,sport_probability_bucket,0.596291,raise_trust
Sport: MLB,sport,MLB,75,0.63828,0.746667,0.108387,0.73622,0.09794,38.44,15.0813,0.392334,1.596867,,,0.877383,0.196188,sport,0.59588,raise_trust
Market: totals,market_type,totals,51,0.645255,0.745098,0.099843,0.73156,0.086305,11.96,4.841608,0.404817,1.562059,,,0.880324,0.191482,market_type,0.57261,raise_trust
MLB / spreads,sport_market,MLB|spreads,62,0.632032,0.725806,0.093774,0.715089,0.083057,27.37,11.6791,0.426712,1.592439,,,0.872981,0.203231,sport_market,0.566114,raise_trust
Probability bucket: 60-70%,probability_bucket,60-70%,93,0.642591,0.731183,0.088591,0.724166,0.081574,31.66,11.643108,0.367755,1.556403,,,0.873125,0.203,probability_bucket,0.563149,raise_trust
Confidence/read: play_small,confidence,play_small,124,0.642274,0.717742,0.075468,0.713168,0.070894,52.9,18.601041,0.351626,1.567693,,,0.870056,0.20791,confidence,0.541788,raise_trust
API coverage: 66-99%,api_coverage_bucket,66-99%,99,0.644899,0.717172,0.072273,0.711768,0.066869,44.1,13.784341,0.31257,1.559665,,,0.870244,0.20761,api_coverage_bucket,0.533738,raise_trust
Books: 11+,books_bucket,11+,174,0.638517,0.701149,0.062632,0.698396,0.059879,64.55,20.263541,0.31392,1.575521,,,0.867573,0.211883,books_bucket,0.519758,raise_trust
Odds: 1.30-1.59,odds_bucket,1.30-1.59,91,0.67433,0.736264,0.061934,0.731259,0.056929,33.35,9.991949,0.299609,1.485116,,,0.874543,0.20073,odds_bucket,0.513859,raise_trust
Probability source: final_probability,probability_source,final_probability,175,0.638423,0.697143,0.05872,0.694576,0.056153,64.65,20.163541,0.311888,1.575699,,,0.866948,0.212883,probability_source,0.512306,raise_trust
Bookmaker: consensus_average,bookmaker,consensus_average,175,0.638423,0.697143,0.05872,0.694576,0.056153,64.65,20.163541,0.311888,1.575699,,,0.866948,0.212883,bookmaker,0.512306,raise_trust
Probability source: model_probability,probability_source,model_probability,95,0.7,0.757895,0.057895,0.753398,0.053398,95.0,34.25,0.360526,1.75,,,0.883224,0.186842,probability_source,0.506796,raise_trust
Confidence/read: 0.70,confidence,0.70,95,0.7,0.757895,0.057895,0.753398,0.053398,95.0,34.25,0.360526,1.75,,,0.883224,0.186842,confidence,0.506796,raise_trust
Odds: 1.60-1.89,odds_bucket,1.60-1.89,161,0.645584,0.695652,0.050068,0.693282,0.047698,108.3,34.091592,0.314788,1.717527,,,0.867796,0.211527,odds_bucket,0.495396,raise_trust
Market: estimated_score,market_type,estimated_score,74,0.7,0.743243,0.043243,0.739024,0.039024,74.0,23.75,0.320946,1.75,,,0.879561,0.192703,market_type,0.478049,raise_trust
API coverage: 33-65%,api_coverage_bucket,33-65%,76,0.629987,0.671053,0.041066,0.667142,0.037155,20.55,6.3792,0.310423,1.596587,,,0.862655,0.219752,api_coverage_bucket,0.47431,raise_trust
Market: spreads,market_type,spreads,120,0.635917,0.675,0.039083,0.672557,0.036641,48.69,14.830733,0.304595,1.583202,,,0.860752,0.222797,market_type,0.473281,raise_trust
Probability bucket: 50-60%,probability_bucket,50-60%,56,0.584875,0.625,0.040125,0.619984,0.035109,20.5,7.1413,0.348356,1.709261,,,0.852452,0.236076,probability_bucket,0.470219,raise_trust
FIFA World Cup / 60-70%,sport_probability_bucket,FIFA World Cup|60-70%,40,0.64165,0.7,0.05835,0.690275,0.048625,7.51,2.586075,0.344351,1.560942,,,0.834264,0.21633,sport_probability_bucket,0.469648,raise_trust
Probability bucket: 70-80%,probability_bucket,70-80%,128,0.705383,0.742188,0.036805,0.740023,0.03464,114.49,38.299133,0.334519,1.662168,,,0.878549,0.194321,probability_bucket,0.469279,raise_trust
Sport: FIFA World Cup,sport,FIFA World Cup,107,0.655495,0.691589,0.036093,0.689078,0.033583,51.93,13.749075,0.264762,1.63218,,,0.866034,0.214346,sport,0.467165,raise_trust
FIFA World Cup / spreads,sport_market,FIFA World Cup|spreads,40,0.6241,0.675,0.0509,0.666517,0.042417,11.08,2.993533,0.270174,1.609433,,,0.829169,0.224481,sport_market,0.45792,raise_trust
FIFA World Cup / totals,sport_market,FIFA World Cup|totals,31,0.644323,0.709677,0.065355,0.696271,0.051949,4.85,1.505542,0.310421,1.558913,,,0.807467,0.203735,sport_market,0.444164,raise_trust
FIFA World Cup / 70-80%,sport_probability_bucket,FIFA World Cup|70-80%,43,0.704721,0.72093,0.016209,0.718388,0.013667,36.65,9.3555,0.255266,1.672206,,,0.854036,0.2005,sport_probability_bucket,0.411287,raise_trust
FIFA World Cup / estimated_score,sport_market,FIFA World Cup|estimated_score,36,0.7,0.694444,-0.005556,0.695455,-0.004545,36.0,9.25,0.256944,1.75,,,0.822471,0.212222,sport_market,0.375702,raise_trust
MLB / 50-60%,sport_probability_bucket,MLB|50-60%,23,0.578565,0.652174,0.073609,0.633178,0.054613,9.43,3.3183,0.351888,1.726326,,,0.749962,0.231355,sport_probability_bucket,0.363582,raise_trust
FIFA World Cup / 50-60%,sport_probability_bucket,FIFA World Cup|50-60%,24,0.590375,0.625,0.034625,0.616344,0.025969,7.77,1.8075,0.232625,1.694204,,,0.752864,0.235849,sport_probability_bucket,0.33299,raise_trust
Confidence/read: play_strong,confidence,play_strong,47,0.629277,0.638298,0.009021,0.636986,0.007709,7.75,1.0713,0.138232,1.601179,,,0.848961,0.228093,confidence,0.287382,raise_trust
Sport: MMA,sport,MMA,18,0.668722,0.722222,0.0535,0.705761,0.037038,11.7,3.315,0.283333,1.652912,,,0.735275,0.202569,sport,0.284019,raise_trust
Market: Winner,market_type,Winner,7,0.7,1.0,0.3,0.84,0.14,7.0,7.0,1.0,,,,0.684631,0.09,market_type,0.221775,raise_trust
Sport: Brazil Série B,sport,Brazil Série B,6,0.723333,0.333333,-0.39,0.55619,-0.167143,6.0,-1.23,-0.205,1.436667,,,0.487529,0.375477,sport,0.218044,lower_trust
Brazil Série B / 70-80%,sport_probability_bucket,Brazil Série B|70-80%,6,0.723333,0.333333,-0.39,0.55619,-0.167143,6.0,-1.23,-0.205,1.436667,,,0.487529,0.375477,sport_probability_bucket,0.218044,lower_trust
Market: round/method,market_type,round/method,14,0.7,0.714286,0.014286,0.709091,0.009091,14.0,3.5,0.25,1.75,,,0.701135,0.204286,market_type,0.211217,raise_trust
MMA / totals,sport_market,MMA|totals,9,0.637444,0.777778,0.140333,0.711739,0.074294,2.7,1.315,0.487037,1.5774,,,0.658467,0.181804,sport_market,0.208824,raise_trust
Boxing / 70-80%,sport_probability_bucket,Boxing|70-80%,8,0.708375,0.875,0.166625,0.791688,0.083313,7.1,3.530333,0.49723,1.694163,,,0.672647,0.135536,sport_probability_bucket,0.200543,raise_trust
Sport: WNBA,sport,WNBA,9,0.665556,0.777778,0.112222,0.724967,0.059412,7.05,1.7841,0.253064,1.725556,,,0.658168,0.182284,sport,0.197494,raise_trust
MMA / 70-80%,sport_probability_bucket,MMA|70-80%,11,0.701455,0.727273,0.025818,0.716402,0.014947,9.2,2.0825,0.226359,1.675,,,0.673704,0.198233,sport_probability_bucket,0.185657,raise_trust
Sport: Boxing,sport,Boxing,9,0.698667,0.777778,0.079111,0.740549,0.041882,7.2,3.430333,0.476435,1.684811,,,0.670017,0.163326,sport,0.184149,raise_trust
